group_id,company_id,role
1,1,Label
1,2,Parent Company
2,4,Label
2,3,Parent Company
3,5,Label
4,5,Label
5,6,Label
6,6,Label
7,8,Label
7,7,Parent Company
8,9,Label
9,9,Label
10,11,Label
11,13,Label
11,12,Parent Company
12,6,Label
13,15,Label
13,7,Parent Company
14,16,Label
15,6,Label
16,18,Label
16,1,Parent Company
17,19,Label
17,1,Parent Company
18,21,Label
18,9,Parent Company
19,23,Label
21,24,Label
22,25,Label
23,5,Label
24,30,Label
24,29,Parent Company
25,5,Label
26,12,Label
27,9,Label
28,36,Label
28,3,Parent Company
29,16,Label
30,37,Label
31,38,Label
32,39,Label
33,8,Label
33,7,Parent Company
34,2,Label
34,1,Parent Company
35,46,Label
35,45,Parent Company